payment_fact_key,payment_id,rental_id,customer_key,film_key,store_key,staff_key,payment_date_key,payment_amount,payment_count
1,1,76,1,663,2,1,20050525,2.99,1
2,2,573,1,875,2,1,20050528,0.99,1
3,3,1185,1,611,1,1,20050615,5.99,1
4,4,1422,1,228,2,2,20050615,0.99,1
5,5,1476,1,308,1,2,20050615,9.99,1
6,6,1725,1,159,1,1,20050616,4.99,1
7,7,2308,1,44,1,1,20050618,4.99,1
8,8,2363,1,766,1,2,20050618,0.99,1
9,9,3284,1,997,1,1,20050621,3.99,1
10,10,4526,1,316,2,2,20050708,5.99,1
11,11,4611,1,764,1,1,20050708,5.99,1
12,12,5244,1,814,2,1,20050709,4.99,1
13,13,5326,1,174,1,1,20050709,4.99,1
14,14,6163,1,294,1,1,20050711,7.99,1
15,15,7273,1,539,1,2,20050727,2.99,1
16,16,7841,1,243,2,1,20050728,4.99,1
17,17,8033,1,929,1,2,20050728,4.99,1
18,18,8074,1,341,2,1,20050728,0.99,1
19,19,8116,1,982,1,2,20050728,0.99,1
20,20,8326,1,22,1,2,20050729,2.99,1
21,21,9571,1,480,1,2,20050731,2.99,1
22,22,10437,1,3,2,2,20050801,4.99,1
23,23,11299,1,709,2,2,20050802,3.99,1
24,24,11367,1,315,2,1,20050802,0.99,1
25,25,11824,1,579,1,2,20050817,4.99,1
26,26,12250,1,204,2,1,20050818,0.99,1
27,27,13068,1,663,1,2,20050819,0.99,1
28,28,13176,1,490,1,2,20050819,2.99,1
29,29,14762,1,924,1,1,20050821,0.99,1
30,30,14825,1,317,2,1,20050822,1.99,1
31,31,15298,1,317,1,2,20050822,2.99,1
32,32,15315,1,70,1,1,20050822,5.99,1
33,33,320,2,243,1,1,20050527,4.99,1
34,34,2128,2,78,1,1,20050617,2.99,1
35,35,5636,2,895,1,1,20050710,2.99,1
36,36,5755,2,606,1,1,20050710,6.99,1
37,37,7346,2,162,2,2,20050727,4.99,1
38,38,7376,2,109,1,1,20050727,5.99,1
39,39,7459,2,446,1,2,20050727,5.99,1
40,40,8230,2,421,2,2,20050729,5.99,1
41,41,8598,2,136,1,1,20050729,2.99,1
42,42,8705,2,879,2,2,20050729,5.99,1
43,43,9031,2,518,2,1,20050730,4.99,1
44,44,9236,2,878,2,2,20050730,10.99,1
45,45,9248,2,303,2,2,20050730,0.99,1
46,46,9296,2,891,1,2,20050730,6.99,1
47,47,9465,2,678,1,2,20050730,6.99,1
48,48,10136,2,690,1,1,20050731,2.99,1
49,49,10466,2,27,1,1,20050801,0.99,1
50,50,10918,2,748,2,1,20050802,0.99,1
51,51,11087,2,142,1,1,20050802,5.99,1
52,52,11177,2,254,1,1,20050802,6.99,1
53,53,11256,2,447,1,2,20050802,2.99,1
54,54,11614,2,175,2,1,20050817,2.99,1
55,55,12963,2,331,2,1,20050819,2.99,1
56,56,14475,2,694,2,1,20050821,4.99,1
57,57,14743,2,999,1,2,20050821,5.99,1
58,58,15145,2,471,1,2,20050822,4.99,1
59,59,15907,2,637,2,2,20050823,4.99,1
60,60,435,3,732,1,1,20050527,1.99,1
61,61,830,3,759,2,1,20050529,2.99,1
62,62,1546,3,854,2,1,20050616,8.99,1
63,63,1726,3,23,1,1,20050616,6.99,1
64,64,1911,3,202,1,2,20050617,6.99,1
65,65,2628,3,855,1,1,20050619,2.99,1
66,66,4180,3,371,1,1,20050707,4.99,1
67,67,4725,3,447,1,1,20050708,4.99,1
68,68,7096,3,563,2,1,20050727,5.99,1
69,69,7503,3,126,2,2,20050727,10.99,1
70,70,7703,3,464,2,2,20050728,7.99,1
71,71,7724,3,77,1,2,20050728,6.99,1
72,72,7911,3,86,1,1,20050728,4.99,1
73,73,8086,3,263,1,2,20050728,4.99,1
74,74,8545,3,717,2,1,20050729,2.99,1
75,75,9226,3,940,1,1,20050730,1.99,1
76,76,9443,3,366,1,2,20050730,3.99,1
77,77,9595,3,621,1,1,20050731,2.99,1
78,78,9816,3,995,1,2,20050731,4.99,1
79,79,10597,3,725,1,2,20050801,5.99,1
80,80,12556,3,433,1,2,20050818,4.99,1
81,81,13403,3,711,2,1,20050819,8.99,1
82,82,13610,3,555,1,2,20050820,2.99,1
83,83,14699,3,312,2,2,20050821,8.99,1
